unique_id,smape_baseline,smape_ensemble,gain,length_group,category
M10200,1.534330812302288,1.2269720561021262,0.30735875620016184,short,Micro
M10216,9.729085407145577,8.807009917425246,0.9220754897203314,short,Micro
M10390,1.1513817792710992,1.078487971515172,0.07289380775592713,medium,Micro
M10405,14.11449764068613,13.482955797671345,0.6315418430147854,medium,Micro
M10438,7.989584120652543,7.970239502751028,0.019344617901515093,cold_start,Micro
M10485,1.1019217419390666,0.8546679114407171,0.24725383049834948,medium,Micro
M10533,2.0266800583031324,1.8837867834646977,0.14289327483843461,medium,Micro
M1054,2.99398274568894,2.70420639778111,0.2897763479078299,long_history,Macro
M10558,1.2287316695365478,1.7127679598967764,-0.48403629036022866,medium,Micro
M10598,12.216211832891258,10.858659269783615,1.3575525631076424,medium,Micro
M10670,5.513141273123733,5.064344421281478,0.44879685184225426,medium,Micro
M10673,4.23532625527482,5.54630793376664,-1.31098167849182,medium,Micro
M10707,1.9549766661183368,1.690515459314041,0.26446120680429575,long_history,Micro
M10908,1.907182965847375,1.5642768430315215,0.3429061228158534,short,Micro
M10966,1.2948919725293697,0.8943000835011452,0.4005918890282245,medium,Micro
M11035,2.4322882968626987,2.1262137653236275,0.30607453153907116,long_history,Micro
M11083,2.848749432404205,2.3333465829126947,0.5154028494915104,long_history,Micro
M11165,3.178727280547238,2.7064468108628894,0.4722804696843488,long_history,Micro
M11344,2.389919157988043,3.155469991272766,-0.7655508332847232,short,Micro
M11349,0.6148017438421772,0.5133325953199618,0.10146914852221545,long_history,Micro
M11353,2.4904855183932617,2.0812183887527507,0.40926712964051104,long_history,Micro
M11472,1.7411818001880428,2.9576704104604183,-1.2164886102723755,cold_start,Micro
M11572,1.7102148820144503,1.5232274026854302,0.18698747932902005,long_history,Micro
M11613,1.058090206154545,1.1110288121926097,-0.05293860603806477,long_history,Micro
M11766,2.818187641399024,3.1292805772371444,-0.31109293583812025,short,Micro
M11916,0.9236401761489139,0.7685658974292537,0.15507427871966017,long_history,Micro
M11951,0.38682365995175594,0.3751070470402756,0.01171661291148035,long_history,Micro
M12075,0.8574038288681254,0.6971328816791009,0.16027094718902446,long_history,Micro
M12146,2.1858476865191445,1.7591302458030151,0.4267174407161294,short,Micro
M12170,2.705671426017384,2.241018493613189,0.46465293240419525,long_history,Micro
M12201,1.4227208270889187,1.286906379840363,0.13581444724855563,short,Micro
M12262,4.6181418697141225,4.607074301098921,0.01106756861520175,medium,Micro
M12336,1.521172554466137,1.4634152347137708,0.0577573197523662,long_history,Micro
M12457,1.9576843554509487,1.5109799071972407,0.4467044482537079,short,Micro
M12554,1.1924803357967646,1.2201489114674489,-0.02766857567068426,short,Micro
M12568,3.8039832385795025,3.290278955068472,0.5137042835110304,long_history,Micro
M12589,2.3724634409019063,2.9107911305547485,-0.5383276896528422,cold_start,Micro
M12611,1.3674414013696021,1.27718575237364,0.09025564899596206,long_history,Micro
M12864,1.9196394494554299,2.0109326142343495,-0.09129316477891969,short,Micro
M12919,0.8684918854766971,0.716130217438172,0.15236166803852513,long_history,Micro
M13045,2.7989978891278633,2.4177809840477975,0.3812169050800658,long_history,Micro
M13140,1.2734309601132558,1.218267400219796,0.05516355989345989,short,Micro
M1319,1.2882229922849233,1.2353746410761313,0.052848351208792055,long_history,Macro
M13221,1.4917590959372637,1.3826826589176273,0.10907643701963643,long_history,Micro
M13238,1.533846964116487,1.3643313042699048,0.16951565984658212,short,Micro
M13381,1.0425479152405543,1.3170692839555342,-0.2745213687149799,short,Micro
M13754,6.3679859413744975,6.136408687226019,0.23157725414847885,cold_start,Micro
M13792,3.4322277598081077,3.5515516222868886,-0.1193238624787809,medium,Micro
M13808,9.563740492993368,9.01549889375216,0.5482415992412086,medium,Micro
M13895,4.295796350140722,3.9283447336559987,0.36745161648472324,medium,Micro
M13953,2.483395023141891,2.258704113710197,0.22469090943169379,medium,Micro
M14045,12.018235437794685,11.359872876805904,0.6583625609887811,short,Micro
M14205,1.3293464953594034,1.257001598590882,0.0723448967685214,medium,Micro
M14247,6.559096808419803,5.856320336130699,0.7027764722891048,medium,Micro
M14345,8.84192819752556,6.4938429214598985,2.348085276065661,long_history,Micro
M1445,4.572248243674834,3.949917293954724,0.6223309497201104,long_history,Macro
M14483,3.2597250816411885,3.6110001099857985,-0.35127502834461,medium,Micro
M1449,4.435961612120584,3.8016730890940846,0.6342885230264996,long_history,Macro
M14968,2.8171635978891363,2.900066796897991,-0.08290319900885468,short,Micro
M15167,11.933260870564338,10.105920153677866,1.8273407168864715,long_history,Micro
M15328,11.689488601292771,10.161732994465064,1.5277556068277072,short,Micro
M15361,26.20131152388957,28.0855520127136,-1.8842404888240303,short,Micro
M15421,11.52636272929944,11.829472734905796,-0.3031100056063565,short,Micro
M155,1.900806544852301,1.5455585954725943,0.3552479493797067,cold_start,Macro
M1555,2.0201614874634166,1.885422964004765,0.13473852345865156,long_history,Macro
M15585,1.6819962826685435,1.684143046075284,-0.0021467634067404706,medium,Micro
M15619,2.5697239544414296,2.376509574079997,0.1932143803614328,medium,Micro
M15648,3.1438004922264193,2.8187847060636475,0.3250157861627718,short,Micro
M15679,2.1910020922822167,1.9361549068301127,0.25484718545210394,medium,Micro
M16637,14.407154414076686,17.018201436435223,-2.6110470223585374,cold_start,Micro
M17110,4.509108285067812,4.439356761413273,0.0697515236545394,short,Micro
M17244,10.216196503782097,10.73077372506706,-0.5145772212849629,cold_start,Micro
M17653,13.818181936147896,13.719363152930944,0.09881878321695226,cold_start,Micro
